month,label,followers,followers_gained,followers_lost,net_followers,profile_views,accounts_engaged,total_followers,total_media
2024-08,Aug'24,12518,0,0,0,3759,0,12518,989
2024-09,Sep'24,12518,0,0,0,4179,0,12518,989
2024-10,Oct'24,12518,0,0,0,4752,0,12518,989
2024-11,Nov'24,12518,0,0,0,3566,0,12518,989
2024-12,Dec'24,12518,0,0,0,4324,0,12518,989
2025-01,Jan'25,12518,0,0,0,5441,0,12518,989
2025-02,Feb'25,12518,0,0,0,5681,0,12518,989
2025-03,Mar'25,12518,0,0,0,5862,0,12518,989
2025-04,Apr'25,12518,0,0,0,5662,0,12518,989
2025-05,May'25,12518,0,0,0,5251,0,12518,989
2025-06,Jun'25,12518,0,0,0,5518,0,12518,989
2025-07,Jul'25,12518,230,79,151,4928,0,12518,989
2025-08,Aug'25,12518,313,124,189,5885,0,12518,989
2025-09,Sep'25,12518,184,119,65,4900,0,12518,989
2025-10,Oct'25,12518,212,102,110,5631,0,12518,989
2025-11,Nov'25,12518,231,117,114,4467,0,12518,989
2025-12,Dec'25,12518,296,110,186,6035,245,12518,989
2026-01,Jan'26,12518,317,128,189,8243,3067,12518,989
2026-02,Feb'26,12518,331,127,204,7388,4097,12518,989
2026-03,Mar'26,12518,465,144,321,5988,3961,12518,989
2026-04,Apr'26,12518,560,119,441,8111,3678,12518,989
2026-05,May'26,12518,462,183,279,6550,3504,12518,989
2026-06,Jun'26,12518,508,158,350,7384,3927,12518,989
2026-07,Jul'26,12518,142,51,91,2945,1303,12518,989
