month,label,views,watch_time_hours,avg_view_duration,subscribers_gained,subscribers_lost,net_subs,likes,comments,shares,impressions,ctr,videos_published,videos_published_shorts,videos_published_long,data_source,total_subscribers,total_views,total_videos,avg_view_percent
2023-10,Oct'23,1858,4.3,8.0,39,20,19,35,3,0,0,0,3,3,0,analytics,33600,13496826,229,14.46
2023-11,Nov'23,748,1.9,8.0,41,15,26,19,0,0,0,0,1,1,0,analytics,33600,13496826,229,15.35
2023-12,Dec'23,1109,9.0,29.0,61,3,58,119,19,31,0,0,1,0,1,analytics,33600,13496826,229,49.29
2024-01,Jan'24,123,0.4,12.0,23,6,17,-3,0,0,0,0,0,0,0,analytics,33600,13496826,229,21.93
2024-02,Feb'24,105,0.3,12.0,17,2,15,-1,0,0,0,0,0,0,0,analytics,33600,13496826,229,20.89
2024-03,Mar'24,144,0.5,11.0,18,6,12,1,0,0,0,0,0,0,0,analytics,33600,13496826,229,19.53
2024-04,Apr'24,137,0.5,13.0,13,2,11,5,0,0,0,0,0,0,0,analytics,33600,13496826,229,22.25
2024-05,May'24,151,0.8,18.0,14,3,11,0,0,0,0,0,0,0,0,analytics,33600,13496826,229,31.11
2024-06,Jun'24,176,0.8,17.0,16,3,13,15,0,0,0,0,0,0,0,analytics,33600,13496826,229,30.16
2024-07,Jul'24,214,1.1,18.0,17,4,13,7,0,0,0,0,0,0,0,analytics,33600,13496826,229,31.51
2024-08,Aug'24,177,0.8,16.0,12,4,8,3,0,0,0,0,0,0,0,analytics,33600,13496826,229,27.95
2024-09,Sep'24,1879198,21330.4,40.0,7143,443,6700,122782,1183,3851,0,0,22,21,1,analytics,33600,13496826,229,69.59
2024-10,Oct'24,995174,10721.6,38.0,3169,283,2886,66685,659,2077,0,0,19,17,2,analytics,33600,13496826,229,64.91
2024-11,Nov'24,1396121,15422.9,39.0,5247,347,4900,111265,770,1882,0,0,19,18,1,analytics,33600,13496826,229,66.83
2024-12,Dec'24,707058,7613.8,38.0,1889,226,1663,54902,654,900,0,0,18,16,2,analytics,33600,13496826,229,66.62
2025-01,Jan'25,409909,4304.4,37.0,856,126,730,25400,357,697,0,0,21,19,2,analytics,33600,13496826,229,60.0
2025-02,Feb'25,834801,9547.2,41.0,2403,168,2235,56079,377,2324,0,0,15,8,7,analytics,33600,13496826,229,70.11
2025-03,Mar'25,474256,4979.1,39.0,1068,149,919,33495,446,836,0,0,19,11,8,analytics,33600,13496826,229,63.97
2025-04,Apr'25,1946615,13919.7,39.0,4121,408,3713,94218,947,1784,0,0,9,5,4,analytics,33600,13496826,229,64.56
2025-05,May'25,589770,4942.8,42.0,1615,236,1379,37818,314,825,0,0,0,0,0,analytics,33600,13496826,229,64.46
2025-06,Jun'25,198565,1618.1,42.0,593,124,469,9341,81,318,0,0,0,0,0,analytics,33600,13496826,229,66.13
2025-07,Jul'25,103867,804.1,42.0,291,120,171,2783,58,239,0,0,0,0,0,analytics,33600,13496826,229,66.45
2025-08,Aug'25,89844,657.1,40.0,279,88,191,2392,44,204,0,0,0,0,0,analytics,33600,13496826,229,66.42
2025-09,Sep'25,117691,904.0,43.0,351,84,267,2817,42,300,0,0,0,0,0,analytics,33600,13496826,229,67.19
2025-10,Oct'25,118805,1023.0,47.0,385,93,292,3456,61,399,0,0,0,0,0,analytics,33600,13496826,229,66.94
2025-11,Nov'25,73967,607.4,45.0,202,87,115,1873,29,260,0,0,0,0,0,analytics,33600,13496826,229,66.48
2025-12,Dec'25,60622,489.7,44.0,174,73,101,1431,19,211,0,0,0,0,0,analytics,33600,13496826,229,66.58
2026-01,Jan'26,64190,506.8,43.0,179,89,90,1546,21,200,0,0,0,0,0,analytics,33600,13496826,229,67.76
2026-02,Feb'26,58783,447.9,42.0,154,67,87,1328,28,178,0,0,0,0,0,analytics,33600,13496826,229,66.46
2026-03,Mar'26,165846,1126.7,39.0,416,114,302,12010,95,382,0,0,12,2,10,analytics,33600,13496826,229,59.57
2026-04,Apr'26,927611,9008.1,48.0,2639,350,2289,53618,791,2172,0,0,25,1,24,analytics,33600,13496826,229,59.36
2026-05,May'26,784309,8048.8,50.0,1927,249,1678,42444,756,1600,0,0,26,4,22,analytics,33600,13496826,229,59.2
2026-06,Jun'26,985405,8623.5,42.0,1986,337,1649,42471,877,2313,0,0,21,7,14,analytics,33600,13496826,229,63.35
2026-07,Jul'26,483662,4181.9,45.0,740,148,592,14973,441,1035,0,0,10,4,6,analytics,33600,13496826,229,66.82
